als_model, alpha, factors, model_rank, popular_rank
series, 10, 5, 11.012783559453879, 14.605311022189888
series, 10, 10, 12.36493842192254, 14.605311022189888
series, 10, 30, 12.217456893322337, 14.605311022189888
series, 40, 5, 8.5002448086761344, 14.605311022189888
series, 40, 10, 10.24278723287488, 14.605311022189888
series, 40, 30, 11.665074829468944, 14.605311022189888
series, 80, 5, 7.3611864285068007, 14.605311022189888
series, 80, 10, 8.6792362788095865, 14.605311022189888
series, 80, 30, 10.726324881342887, 14.605311022189888
event_type, 10, 5, 0.0, 0.0
event_type, 10, 10, 0.0, 0.0
event_type, 10, 30, 0.0, 0.0
event_type, 40, 5, 0.0, 0.0
event_type, 40, 10, 100, 100
event_type, 40, 30, 0.0, 0.0
event_type, 80, 5, 100, 100
event_type, 80, 10, 100, 100
event_type, 80, 30, 0.0, 0.0
venue, 10, 5, 14.527180324319232, 34.874847374847377
venue, 10, 10, 16.111637264590311, 34.874847374847377
venue, 10, 30, 17.062340856530334, 34.874847374847377
venue, 40, 5, 12.802552516462956, 34.874847374847377
venue, 40, 10, 14.777388326934982, 34.874847374847377
venue, 40, 30, 16.708776186221169, 34.874847374847377
venue, 80, 5, 11.991154793030798, 34.874847374847377
venue, 80, 10, 13.827741567025113, 34.874847374847377
venue, 80, 30, 15.763569588440212, 34.874847374847377
avg_fee, 10, 5, 19.589791298439604, 21.788489558037881
avg_fee, 10, 10, 21.02964174478463, 21.788489558037881
avg_fee, 10, 30, 21.484282962217193, 21.788489558037881
avg_fee, 40, 5, 17.604070014440126, 21.788489558037881
avg_fee, 40, 10, 17.018211275202308, 21.788489558037881
avg_fee, 40, 30, 20.077328961664726, 21.788489558037881
avg_fee, 80, 5, 14.532785187242714, 21.788489558037881
avg_fee, 80, 10, 15.171877836403693, 21.788489558037881
avg_fee, 80, 30, 20.69396794064744, 21.788489558037881
avg_miles, 10, 5, 15.270046007997625, 29.196071298654054
avg_miles, 10, 10, 15.83090306511818, 29.196071298654054
avg_miles, 10, 30, 14.657141419873492, 29.196071298654054
avg_miles, 40, 5, 12.993524092357028, 29.196071298654054
avg_miles, 40, 10, 12.590925586746046, 29.196071298654054
avg_miles, 40, 30, 13.651602301725573, 29.196071298654054
avg_miles, 80, 5, 10.829933301479221, 29.196071298654054
avg_miles, 80, 10, 12.582789844046216, 29.196071298654054
avg_miles, 80, 30, 13.010303727315177, 29.196071298654054
