,EventID,Event_Name,Venue_Zip2
0,8,Absolution Run,98028
1,9,Interlaken Icicle Dash,98102
2,10,Frost Eagle,98074
3,11,Fort Ebey Kettles Trail Run,98239
4,12,Spring Run for Fun,98053
5,13,Cedar Mountain Trail Run,98038
6,14,Rock Creek Ramble,99032
7,15,Spring Eagle Trail Run,98074
8,16,Teanaway Trail Run,98922
9,17,Ravenna Run the Ravine,98105
10,18,Rattlesnake Ridge Run,98045
11,19,Sunshine Salutation,98053
12,20,Carkeek Warmer,98177
13,21,Seward Sizzler,98118
14,22,Pie High Trail Run,98290
15,23,Summer Eddy,98028
16,24,Summer Blast,98053
17,25,Interlaken Ice Cream Dash,98102
18,26,Cedar River Trail Run,98038
19,27,End of Summer Run,98177
20,28,St Edward Harvest Half,98028
21,29,Run With the Kokenee,98027
22,30,Carkeek Cooler,98177
23,31,Ravenna Refresher,98105
24,32,Redmond Reindeer Romp,98053
25,33,Seward Solstice,98118
26,34,Absolution Run,98028
27,35,Interlaken Icicle Dash,98102
28,36,Frost Eagle,98074
29,37,Fort Ebey Kettles Trail Run,98239
30,38,Spring Run for Fun,98053
31,39,Cedar Mountain Trail Run,98038
32,40,Tiger Mountain Trail Run,98027
33,41,Spring Eagle Trail Run,98074
34,42,Coal Mines Trail Run,98922
35,43,Woodland Park Zoom,98103
36,44,Wilburton Hillbilly,98005
37,45,Teanaway Trail Run,98922
38,46,Ravenna Run the Ravine,98105
39,48,Sunshine Salutation,98053
40,49,Carkeek Warmer,98177
41,50,Pie High Trail Run,98290
42,51,Seward Sizzler,98118
43,52,Summer Eddy,98028
44,53,Interlaken Ice Cream Dash,98102
45,54,Summer Blast,98053
46,55,Paradise Valley Trail Run,98077
47,56,End of Summer Run,98177
48,57,St Edward Harvest Half,98028
49,58,Run With the Kokenee,98027
50,60,Ravenna Refresher,98105
51,61,Carkeek Cooler,98177
52,62,Redmond Reindeer Romp,98053
53,63,Seward Solstice Run,98118
54,64,Absolution Run,98028
55,66,Frost Eagle,98074
56,67,Interlaken Icicle Dash,98102
57,68,Fort Ebey Kettles Trail Run,98239
58,69,Spring Run for Fun,98053
59,70,Cedar Mountain Trail Run,98038
60,71,Rattlesnake Ridge Run,98045
61,72,Spring Eagle Trail Run,98074
62,73,Woodland Park Zoom,98103
63,74,Tiger Mountain Trail Run,98027
64,75,Wilburton Hillbilly,98005
65,76,Teanaway Trail Run,98922
66,77,Ravenna Run the Ravine,98105
67,78,Sunshine Salutation,98053
68,79,Carkeek Warmer,98177
69,80,Pie High Trail Run,98290
70,81,Seward Sizzler,98118
71,82,Summer Eddy,98028
72,83,Summer Blast,98053
73,84,Interlaken Ice Cream Dash,98102
74,85,Paradise Valley Trail Run,98296
75,86,Middle Fork Trail Run,98045
76,87,St Edward Harvest Half,98028
77,88,Run With the Kokanee,98027
78,89,Carkeek Cooler,98177
79,90,Ravenna Refresher,98105
80,91,Redmond Reindeer Romp,98053
81,92,Seward Solstice Run,98118
82,93,Absolution Run,98028
83,94,Frost Eagle,98074
84,95,Interlaken Icicle Dash,98102
85,1000,Market Scramble 2014,98101
86,1001,Issaquah Scramble 2015,98027
87,1002,Ballard Scramble 2015,98117
88,1003,Gig Harbor Scramble 2015,98332
89,1004,Redmond Scramble 2015,98052
90,1005,Fremont Scramble 2015,98103
91,1006,Kirkland Scramble 2015,98034
92,1007,Market Scramble 2015,98101
93,1008,Alki Scramble 2016,98116
94,1009,Gig Harbor Scramble 2016,98332
95,1010,Everett Scramble 2016,98208
96,1011,Fremont Scramble 2016,98103
97,1012,Auburn Scramble 2016,98002
98,1013,Market Scramble 2016,98101
99,1014,Alki Scramble 2017,98116
100,1015,Gig Harbor Scramble 2017,98332
101,1016,Everett Scramble 2017,98208
102,1017,Seattle Ultra Scramble 2017,98103
103,1018,Fremont Street Scramble 2017,98103
104,1019,Bellingham Scramble 2017,98225
105,1020,Market Scramble 2017,98101
106,2010,Cedar Mtn Nav Race 2016,98058
107,2011,Teanaway Navigation Race 2016,98922
108,2012,Moran Constitutional Nav Race 2016	,98279
109,2013,Cedar Mtn Nav Race 2017,98058
110,2014,Rattlesnake Lake Navigation Race 2017,98045
111,2015,Teanaway Navigation Race 2017,98922
112,2016,Moran Constitutional Navigation Race 2017,98279
113,2017,Kettles Checkpoint Run 2018,98239
114,3000,Moran Constitutional Relay	2016,98279
115,3001,Moran Constitutional Relay 2017,98279
116,4000,Cougar Mountain Trail Run #5,98006
117,4001,Bridle Trails Winter Running Festival,98033
118,4002,Cougar Mountain Trail Run #1,98006
119,4003,The Big Run 5k,98102
120,4004,Cougar Mountain Trail Run #2,98006
121,4005,Cougar Mountain Trail Run #3,98006
122,4006,Cougar Mountain Trail Run #4,98006
123,4007,Cougar Mountain Trail Run #5,98006
